module,mean,var,std,min,max,p01,p05,p50,p95,p99,zero_ratio
encoder_conv.block.0,0.0004574937920551747,0.026612896472215652,0.16313462683383823,-0.7702283263206482,0.7828729152679443,-0.4067022502422333,-0.28037554025650024,0.0007545968983322382,0.28015175461769104,0.4084654152393341,0.00054931640625
encoder_conv.block.1,0.00045749140554107726,0.026612626388669014,0.16313379903830175,-0.7702244520187378,0.7828689217567444,-0.4067001938819885,-0.28037410974502563,0.0007545930566266179,0.28015032410621643,0.40846335887908936,0.00054931640625
encoder_conv.block.2,0.06293793022632599,0.009390357881784439,0.09690391055981404,0.0,0.7828689217567444,0.0,0.0,0.0007545930566266179,0.28015032410621643,0.40846335887908936,0.49814510345458984
encoder_se.block.avg_pool,0.0620279535651207,0.0009008055785670877,0.03001358989802932,-0.04989822208881378,0.12467151880264282,0.01688966155052185,0.028973983600735664,0.05460129678249359,0.11248607933521271,0.12385102361440659,0.0
encoder_se.block.fc.0,-0.02744847536087036,2.754468732746318e-05,0.005249255883214609,-0.03912453353404999,-0.014250642620027065,-0.03900380805134773,-0.03606165945529938,-0.02599387988448143,-0.020899862051010132,-0.01663491688668728,0.0
encoder_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.2,0.0,0.0,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
encoder_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
encoder_fc,-0.0014802711084485054,0.024006804451346397,0.15494132583447967,-0.7312778234481812,0.7215447425842285,-0.3620149493217468,-0.2566756308078766,-0.0013645989820361137,0.25332602858543396,0.3592385947704315,0.000522613525390625
decoder_fc,-0.00013134740584064275,0.00809357687830925,0.08996436449122092,-0.4229690730571747,0.45329198241233826,-0.20996783673763275,-0.1481749564409256,-8.628051728010178e-05,0.1479746401309967,0.2096090018749237,0.0008611679077148438
refine.0,1.973924008780159e-05,0.0026729151140898466,0.05170033959356405,-0.3036854863166809,0.30853548645973206,-0.12368623167276382,-0.08504420518875122,5.8477908169152215e-06,0.08508972078561783,0.12374181300401688,0.0016140937805175781
refine.1,1.9739134586416185e-05,0.0026728881057351828,0.05170007839196361,-0.30368393659591675,0.3085339367389679,-0.12368560582399368,-0.0850437730550766,5.847761713084765e-06,0.0850892886519432,0.12374118715524673,0.0016140937805175781
refine.2,0.02038121409714222,0.0009221118525601923,0.03036645933526318,0.0,0.3085339367389679,0.0,0.0,5.847761713084765e-06,0.0850892886519432,0.12374118715524673,0.5007617473602295
refine.3,0.001251918962225318,0.00041869908454827964,0.020462382181659095,-0.10903281718492508,0.13156969845294952,-0.045483607798814774,-0.03161220625042915,0.0008035714854486287,0.0356593057513237,0.051520537585020065,0.004033327102661133
refine.4,0.0012519123265519738,0.0004186948062852025,0.02046227764168013,-0.10903226584196091,0.1315690279006958,-0.04548337683081627,-0.03161204606294632,0.0008035674109123647,0.035659126937389374,0.05152027681469917,0.004033327102661133
refine.5,0.00872426014393568,0.00016131065785884857,0.012701206944965843,0.0,0.1315690279006958,0.0,0.0,0.0008035674109123647,0.035659126937389374,0.05152027681469917,0.48589229583740234
refine_se.block.avg_pool,0.008724259212613106,4.06609324272722e-05,0.0063773766101173765,0.0015913057141005993,0.0232029240578413,0.0016837511211633682,0.0018115525599569082,0.005841485224664211,0.020548099651932716,0.021893292665481567,0.0
refine_se.block.fc.0,-0.0031727617606520653,2.475400862067545e-08,0.00018642427047108284,-0.0035953230690211058,-0.002747613238170743,-0.0035359037574380636,-0.003422446083277464,-0.003172550117596984,-0.0029334614519029856,-0.0028110172133892775,0.0
refine_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.2,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
refine_se.block.fc.3,0.5,0.0,0.0001,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
refine_out.0,0.009584708139300346,0.00014582859876099974,0.01207636529594065,-0.04387132078409195,0.07378830015659332,-0.01690741628408432,-0.009818876162171364,0.009339727461338043,0.02983558550477028,0.03853265941143036,0.00496673583984375
refine_out.1,0.009582940489053726,0.00014575585373677313,0.012073353044484914,-0.04384319484233856,0.0736546739935875,-0.016905805096030235,-0.00981856044381857,0.009339455515146255,0.029826737940311432,0.03851360082626343,0.00496673583984375
encoder_conv.block.0,0.0005936038214713335,0.027016907930374146,0.1643682388126555,-0.828624963760376,0.786318302154541,-0.4090757369995117,-0.28311020135879517,0.0006536877481266856,0.2825253903865814,0.39959976077079773,0.00052642822265625
encoder_conv.block.1,0.0005936006782576442,0.02701663412153721,0.16436740589769375,-0.8286207914352417,0.7863143086433411,-0.4090736508369446,-0.28310877084732056,0.0006536844884976745,0.2825239598751068,0.39959773421287537,0.00052642822265625
encoder_conv.block.2,0.0638103187084198,0.009437482804059982,0.09714675910219539,0.0,0.7863143086433411,0.0,0.0,0.0006536844884976745,0.2825239598751068,0.39959773421287537,0.49854564666748047
encoder_se.block.avg_pool,0.0626610666513443,0.0008463413105346262,0.029092117670163276,-0.0201871320605278,0.12370425462722778,0.0022624896373599768,0.02924002893269062,0.06064751744270325,0.10619506984949112,0.11602740734815598,0.0
encoder_se.block.fc.0,-0.027638662606477737,2.108257103827782e-05,0.0045926649168296415,-0.038974203169345856,-0.01465904526412487,-0.03727284073829651,-0.03504004701972008,-0.027078785002231598,-0.020864810794591904,-0.017970260232686996,0.0
encoder_se.block.fc.1,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
